figure_id,question_id,core_claim,evidence_source,result_id,panel_plan,chart_type,backend,script_path,output_svg,output_png,output_pdf,dpi,used_in_section,latex_label,caption_source,quality_score,review_risk,status,owner,last_checked,title_cn,caption_cn,notes
F001,Q1,OLS系数估计值与方向,07_results/q1_coefficients.csv,R01,单图,bar,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F001_coefficient_bar.svg,,,300,sec_model,fig:coef,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,OLS系数估计值,多元线性回归模型各变量系数估计值，反映各颜色通道对浓度的作用方向和大小,Shows intercept coefficient R01
F001,Q1,OLS系数估计值与方向,07_results/q1_coefficients.csv,R02,单图,bar,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F001_coefficient_bar.svg,,,300,sec_model,fig:coef,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,OLS系数估计值,多元线性回归模型各变量系数估计值，反映各颜色通道对浓度的作用方向和大小,Shows R coefficient R02
F001,Q1,OLS系数估计值与方向,07_results/q1_coefficients.csv,R03,单图,bar,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F001_coefficient_bar.svg,,,300,sec_model,fig:coef,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,OLS系数估计值,多元线性回归模型各变量系数估计值，反映各颜色通道对浓度的作用方向和大小,Shows G coefficient R03
F001,Q1,OLS系数估计值与方向,07_results/q1_coefficients.csv,R04,单图,bar,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F001_coefficient_bar.svg,,,300,sec_model,fig:coef,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,OLS系数估计值,多元线性回归模型各变量系数估计值，反映各颜色通道对浓度的作用方向和大小,Shows B coefficient R04
F002,Q1,模型预测值与真实值对比,基于冻结系数和标准样本数据,R05,单图,scatter,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F002_pred_vs_actual.svg,,,300,sec_results,fig:pred_actual,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,预测浓度与真实浓度对比,模型预测值与标准样本真实浓度的散点图，显示模型拟合精度,Shows R-squared R05
F002,Q1,模型预测值与真实值对比,基于冻结系数和标准样本数据,R06,单图,scatter,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F002_pred_vs_actual.svg,,,300,sec_results,fig:pred_actual,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,预测浓度与真实浓度对比,模型预测值与标准样本真实浓度的散点图，显示模型拟合精度,Shows RMSE R06
F003,Q1,残差同方差性检验,残差计算,R05,单图,scatter,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F003_resid_fitted.svg,,,300,sec_diagnostics,fig:resid_fitted,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,残差-拟合值图,残差对拟合值的散点图，用于检验同方差性假设,Residual diagnostic bound to R05 R-squared
F003,Q1,残差同方差性检验,残差计算,R06,单图,scatter,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F003_resid_fitted.svg,,,300,sec_diagnostics,fig:resid_fitted,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,残差-拟合值图,残差对拟合值的散点图，用于检验同方差性假设,Residual diagnostic bound to R06 RMSE
F004,Q1,残差正态性检验,残差计算,R05,单图,qq,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F004_qq_resid.svg,,,300,sec_diagnostics,fig:qq,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,残差Q-Q图,残差分位数-理论分位数图，检验残差正态性,QQ plot bound to R05
F004,Q1,残差正态性检验,残差计算,R06,单图,qq,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F004_qq_resid.svg,,,300,sec_diagnostics,fig:qq,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,残差Q-Q图,残差分位数-理论分位数图，检验残差正态性,QQ plot bound to R06
F005,Q1,浓度与各通道线性关系,标准样本数据表,R02,一组散点图,scatter_matrix,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F005_channel_scatter.svg,,,300,sec_model,fig:scatter_matrix,figure_caption_bank.md,4.2,font_risk,active,system,2026-06-04T20:00:00Z,浓度与各颜色通道散点矩阵,浓度与R、G、B通道的散点图矩阵，展示线性关系,Scatter matrix bound to R02 R coefficient
F005,Q1,浓度与各通道线性关系,标准样本数据表,R03,一组散点图,scatter_matrix,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F005_channel_scatter.svg,,,300,sec_model,fig:scatter_matrix,figure_caption_bank.md,4.2,font_risk,active,system,2026-06-04T20:00:00Z,浓度与各颜色通道散点矩阵,浓度与R、G、B通道的散点图矩阵，展示线性关系,Scatter matrix bound to R03 G coefficient
F005,Q1,浓度与各通道线性关系,标准样本数据表,R04,一组散点图,scatter_matrix,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F005_channel_scatter.svg,,,300,sec_model,fig:scatter_matrix,figure_caption_bank.md,4.2,font_risk,active,system,2026-06-04T20:00:00Z,浓度与各颜色通道散点矩阵,浓度与R、G、B通道的散点图矩阵，展示线性关系,Scatter matrix bound to R04 B coefficient
F006,Q1,变量相关性热力图,标准样本数据表,R01,单图,heatmap,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F006_correlation_heatmap.svg,,,300,sec_model,fig:corr_heat,figure_caption_bank.md,4.2,font_risk,active,system,2026-06-04T20:00:00Z,变量相关性热力图,浓度及RGB通道之间的Pearson相关系数热力图,Correlation heatmap bound to R01 intercept
F006,Q1,变量相关性热力图,标准样本数据表,R05,单图,heatmap,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F006_correlation_heatmap.svg,,,300,sec_model,fig:corr_heat,figure_caption_bank.md,4.2,font_risk,active,system,2026-06-04T20:00:00Z,变量相关性热力图,浓度及RGB通道之间的Pearson相关系数热力图,Correlation heatmap bound to R05 R-squared
F007,Q2,模型对比交叉验证RMSE,07_results/q2_comparison.csv,R07,单图,bar,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F007_model_comparison.svg,,,300,sec_model_comparison,fig:model_cmp,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,三种模型留一交叉验证RMSE对比,线性回归、多项式回归、岭回归三种模型的留一交叉验证RMSE对比图,Compares LOOCV RMSE for linear model R07
F007,Q2,模型对比交叉验证RMSE,07_results/q2_comparison.csv,R08,单图,bar,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F007_model_comparison.svg,,,300,sec_model_comparison,fig:model_cmp,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,三种模型留一交叉验证RMSE对比,线性回归、多项式回归、岭回归三种模型的留一交叉验证RMSE对比图,Compares LOOCV RMSE for polynomial R08
F007,Q2,模型对比交叉验证RMSE,07_results/q2_comparison.csv,R09,单图,bar,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F007_model_comparison.svg,,,300,sec_model_comparison,fig:model_cmp,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,三种模型留一交叉验证RMSE对比,线性回归、多项式回归、岭回归三种模型的留一交叉验证RMSE对比图,Compares LOOCV RMSE for ridge R09
F008,Q3,预测区间可视化,07_results/q3_predictions.csv,R10,单图,errorbar,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F008_prediction_intervals.svg,,,300,sec_predictions,fig:pred_intervals,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,待测样本预测浓度及95%预测区间,T01、T02、T03的点预测值和95%预测区间，显示不确定性范围,Shows point prediction T01 R10
F008,Q3,预测区间可视化,07_results/q3_predictions.csv,R11,单图,errorbar,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F008_prediction_intervals.svg,,,300,sec_predictions,fig:pred_intervals,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,待测样本预测浓度及95%预测区间,T01、T02、T03的点预测值和95%预测区间，显示不确定性范围,Shows lower PI T01 R11
F008,Q3,预测区间可视化,07_results/q3_predictions.csv,R12,单图,errorbar,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F008_prediction_intervals.svg,,,300,sec_predictions,fig:pred_intervals,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,待测样本预测浓度及95%预测区间,T01、T02、T03的点预测值和95%预测区间，显示不确定性范围,Shows upper PI T01 R12
F008,Q3,预测区间可视化,07_results/q3_predictions.csv,R13,单图,errorbar,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F008_prediction_intervals.svg,,,300,sec_predictions,fig:pred_intervals,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,待测样本预测浓度及95%预测区间,T01、T02、T03的点预测值和95%预测区间，显示不确定性范围,Shows point prediction T02 R13
F008,Q3,预测区间可视化,07_results/q3_predictions.csv,R14,单图,errorbar,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F008_prediction_intervals.svg,,,300,sec_predictions,fig:pred_intervals,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,待测样本预测浓度及95%预测区间,T01、T02、T03的点预测值和95%预测区间，显示不确定性范围,Shows lower PI T02 R14
F008,Q3,预测区间可视化,07_results/q3_predictions.csv,R15,单图,errorbar,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F008_prediction_intervals.svg,,,300,sec_predictions,fig:pred_intervals,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,待测样本预测浓度及95%预测区间,T01、T02、T03的点预测值和95%预测区间，显示不确定性范围,Shows upper PI T02 R15
F008,Q3,预测区间可视化,07_results/q3_predictions.csv,R16,单图,errorbar,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F008_prediction_intervals.svg,,,300,sec_predictions,fig:pred_intervals,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,待测样本预测浓度及95%预测区间,T01、T02、T03的点预测值和95%预测区间，显示不确定性范围,Shows point prediction T03 R16
F008,Q3,预测区间可视化,07_results/q3_predictions.csv,R17,单图,errorbar,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F008_prediction_intervals.svg,,,300,sec_predictions,fig:pred_intervals,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,待测样本预测浓度及95%预测区间,T01、T02、T03的点预测值和95%预测区间，显示不确定性范围,Shows lower PI T03 R17
F008,Q3,预测区间可视化,07_results/q3_predictions.csv,R18,单图,errorbar,matplotlib,08_figures/scripts/generate_figures.py,08_figures/main_figures/F008_prediction_intervals.svg,,,300,sec_predictions,fig:pred_intervals,figure_caption_bank.md,4.5,font_risk,active,system,2026-06-04T20:00:00Z,待测样本预测浓度及95%预测区间,T01、T02、T03的点预测值和95%预测区间，显示不确定性范围,Shows upper PI T03 R18